image1,segmentation
/root/autodl-tmp/train/CTA/AI01_0093_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0093_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0092_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0092_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0098_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0098_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0017_01_0.45/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0017_01_0.45/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0068_04_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0068_04_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0040_02_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0040_02_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0088_03_0.45/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0088_03_0.45/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0302_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0302_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0156_01_0.7/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0156_01_0.7/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI04_0021_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI04_0021_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0267_02_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0267_02_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0112_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0112_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0010_01_0.45/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0010_01_0.45/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0035_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0035_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0001_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0001_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI01_0096_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI01_0096_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0005_01_0.62/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0005_01_0.62/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0086_01_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0086_01_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI06_0063_02_0.81/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI06_0063_02_0.81/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI04_0015_E0P0D0_1.0/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI04_0015_E0P0D0_1.0/ao_mask.nii.gz
/root/autodl-tmp/train/CTA/AI05_0241_01_0.6/CTA.nii.gz,/root/autodl-tmp/train/CTA/AI05_0241_01_0.6/ao_mask.nii.gz
